188.97,23.05,165.87,10,0.000000000,true
124.30,20.89,103.35,6,0.000000000,true
218.94,21.30,197.57,12,0.000074081,true
333.20,24.58,308.54,19,0.000059939,true
167.51,20.78,146.68,9,0.000042427,true
250.19,21.73,228.41,14,0.000036185,true
208.29,21.00,187.24,11,0.000082632,true
189.06,21.42,167.60,10,0.000091293,true
187.50,24.36,163.09,10,0.000075005,true
387.97,22.97,364.94,22,0.000000000,true
385.19,20.68,364.46,22,0.000051833,true
169.05,20.97,148.03,9,0.000000000,true
261.50,20.63,240.83,15,0.000063869,true
266.59,20.60,245.95,15,0.000000000,true
264.34,22.31,241.98,15,0.000000000,true
186.51,21.62,164.84,10,0.000024542,true
401.24,20.64,380.55,23,0.000085412,true
334.61,20.26,314.31,19,0.000042283,true
215.09,22.66,192.36,11,0.000000000,true
278.25,23.88,254.28,15,0.000000000,true
173.48,21.84,151.59,9,0.000000000,true
241.96,21.09,220.84,13,0.000062746,true
175.34,22.11,153.19,9,0.000000000,true
158.00,21.04,136.91,8,0.000086539,true
154.71,21.17,133.49,8,0.000000000,true
300.99,19.59,281.34,17,0.000000000,true
185.37,22.26,163.06,10,0.000000000,true
270.67,20.81,249.81,15,0.000000000,true
234.44,20.73,213.66,13,0.000038919,true
221.72,20.32,201.35,12,0.000000000,true
