7.66,3.89,3.77,11,0.000055261,true
6.89,2.57,4.33,18,0.000000000,true
10.11,2.95,7.16,13,0.000062642,true
9.19,2.79,6.40,15,0.000090056,true
16.33,2.83,13.49,34,0.000031044,true
13.32,2.91,10.41,16,0.000081961,true
9.39,3.68,5.71,20,0.000031039,true
7.26,2.86,4.39,9,0.000060064,true
11.20,2.83,8.38,16,0.000069444,true
7.12,2.61,4.52,18,0.000039105,true
11.02,2.81,8.21,16,0.000087319,true
12.47,3.11,9.36,17,0.000020445,true
9.65,2.90,6.75,16,0.000000000,true
11.74,2.71,9.03,16,0.000000000,true
11.44,2.84,8.59,17,0.000033478,true
8.82,2.82,6.00,14,0.000008165,true
6.20,2.59,3.61,14,0.000018712,true
10.41,2.86,7.56,14,0.000085254,true
7.24,2.65,4.59,6,0.000042188,true
10.92,2.61,8.31,16,0.000029345,true
13.39,3.16,10.22,19,0.000000000,true
6.39,2.65,3.75,14,0.000023212,true
12.04,2.65,9.39,19,0.000096644,true
9.10,2.82,6.28,15,0.000096690,true
13.33,3.17,10.16,18,0.000042425,true
11.83,2.84,8.99,23,0.000095457,true
7.20,3.37,3.82,11,0.000063073,true
7.46,2.71,4.75,20,0.000056414,true
11.56,2.82,8.74,17,0.000050651,true
6.65,2.71,3.94,16,0.000012430,true
